(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 5)       | D = 0.1
(n, m) = (5, 5)       | D = 0.0
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.0
(n, m) = (5, 10)      | D = 0.0
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.09428
(n, m) = (5, 10)      | D = 0.09428
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.0
(n, m) = (5, 10)      | D = 0.0
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.09428
(n, m) = (5, 10)      | D = 0.09428
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 10)      | D = 0.0
(n, m) = (5, 10)      | D = 0.0
(n, m) = (5, 10)      | D = 0.04714
(n, m) = (5, 100)     | D = 0.00852
(n, m) = (5, 100)     | D = 0.00639
(n, m) = (5, 100)     | D = 0.01278
(n, m) = (5, 100)     | D = 0.01065
(n, m) = (5, 100)     | D = 0.01491
(n, m) = (5, 100)     | D = 0.03407
(n, m) = (5, 100)     | D = 0.0362
(n, m) = (5, 100)     | D = 0.02981
(n, m) = (5, 100)     | D = 0.03194
(n, m) = (5, 100)     | D = 0.02768
(n, m) = (5, 100)     | D = 0.00852
(n, m) = (5, 100)     | D = 0.00639
(n, m) = (5, 100)     | D = 0.01278
(n, m) = (5, 100)     | D = 0.01065
(n, m) = (5, 100)     | D = 0.01491
(n, m) = (5, 100)     | D = 0.03407
(n, m) = (5, 100)     | D = 0.0362
(n, m) = (5, 100)     | D = 0.02981
(n, m) = (5, 100)     | D = 0.03194
(n, m) = (5, 100)     | D = 0.02768
(n, m) = (5, 100)     | D = 0.00852
(n, m) = (5, 100)     | D = 0.00639
(n, m) = (5, 100)     | D = 0.01278
(n, m) = (5, 100)     | D = 0.01065
(n, m) = (5, 100)     | D = 0.01491
(n, m) = (5, 200)     | D = 0.0054
(n, m) = (5, 200)     | D = 0.00848
(n, m) = (5, 200)     | D = 0.00848
(n, m) = (5, 200)     | D = 0.00926
(n, m) = (5, 200)     | D = 0.00694
(n, m) = (5, 200)     | D = 0.02545
(n, m) = (5, 200)     | D = 0.02237
(n, m) = (5, 200)     | D = 0.02237
(n, m) = (5, 200)     | D = 0.0216
(n, m) = (5, 200)     | D = 0.02391
(n, m) = (5, 200)     | D = 0.0054
(n, m) = (5, 200)     | D = 0.00848
(n, m) = (5, 200)     | D = 0.00848
(n, m) = (5, 200)     | D = 0.00926
(n, m) = (5, 200)     | D = 0.00694
(n, m) = (5, 200)     | D = 0.02545
(n, m) = (5, 200)     | D = 0.02237
(n, m) = (5, 200)     | D = 0.02237
(n, m) = (5, 200)     | D = 0.0216
(n, m) = (5, 200)     | D = 0.02391
(n, m) = (5, 200)     | D = 0.0054
(n, m) = (5, 200)     | D = 0.00848
(n, m) = (5, 200)     | D = 0.00848
(n, m) = (5, 200)     | D = 0.00926
(n, m) = (5, 200)     | D = 0.00694
(n, m) = (5, 400)     | D = 0.00497
(n, m) = (5, 400)     | D = 0.00635
(n, m) = (5, 400)     | D = 0.00414
(n, m) = (5, 400)     | D = 0.00276
(n, m) = (5, 400)     | D = 0.00304
(n, m) = (5, 400)     | D = 0.01712
(n, m) = (5, 400)     | D = 0.01574
(n, m) = (5, 400)     | D = 0.01794
(n, m) = (5, 400)     | D = 0.01932
(n, m) = (5, 400)     | D = 0.01905
(n, m) = (5, 400)     | D = 0.00497
(n, m) = (5, 400)     | D = 0.00635
(n, m) = (5, 400)     | D = 0.00414
(n, m) = (5, 400)     | D = 0.00276
(n, m) = (5, 400)     | D = 0.00304
(n, m) = (5, 400)     | D = 0.01712
(n, m) = (5, 400)     | D = 0.01574
(n, m) = (5, 400)     | D = 0.01794
(n, m) = (5, 400)     | D = 0.01932
(n, m) = (5, 400)     | D = 0.01905
(n, m) = (5, 400)     | D = 0.00497
(n, m) = (5, 400)     | D = 0.00635
(n, m) = (5, 400)     | D = 0.00414
(n, m) = (5, 400)     | D = 0.00276
(n, m) = (5, 400)     | D = 0.00304
(n, m) = (5, 600)     | D = 0.00438
(n, m) = (5, 600)     | D = 0.00407
(n, m) = (5, 600)     | D = 0.00241
(n, m) = (5, 600)     | D = 0.00377
(n, m) = (5, 600)     | D = 0.00362
(n, m) = (5, 600)     | D = 0.01373
(n, m) = (5, 600)     | D = 0.01403
(n, m) = (5, 600)     | D = 0.01569
(n, m) = (5, 600)     | D = 0.01433
(n, m) = (5, 600)     | D = 0.01449
(n, m) = (5, 600)     | D = 0.00438
(n, m) = (5, 600)     | D = 0.00407
