(n, m) = (5, 5)       | (i, j) = (0, 0) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (0, 1) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (0, 2) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (0, 3) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (0, 4) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (1, 0) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (1, 1) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (1, 2) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (1, 3) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (1, 4) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (2, 0) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (2, 1) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (2, 2) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (2, 3) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (2, 4) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (3, 0) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (3, 1) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (3, 2) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (3, 3) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (3, 4) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (4, 0) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (4, 1) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (4, 2) | D = 0.0
(n, m) = (5, 5)       | (i, j) = (4, 3) | D = 0.31623
(n, m) = (5, 5)       | (i, j) = (4, 4) | D = 0.0
(n, m) = (5, 10)      | (i, j) = (0, 0) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (0, 1) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (0, 2) | D = 0.0
(n, m) = (5, 10)      | (i, j) = (0, 3) | D = 0.0
(n, m) = (5, 10)      | (i, j) = (0, 4) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (1, 0) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (1, 1) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (1, 2) | D = 0.36515
(n, m) = (5, 10)      | (i, j) = (1, 3) | D = 0.36515
(n, m) = (5, 10)      | (i, j) = (1, 4) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (2, 0) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (2, 1) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (2, 2) | D = 0.0
(n, m) = (5, 10)      | (i, j) = (2, 3) | D = 0.0
(n, m) = (5, 10)      | (i, j) = (2, 4) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (3, 0) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (3, 1) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (3, 2) | D = 0.36515
(n, m) = (5, 10)      | (i, j) = (3, 3) | D = 0.36515
(n, m) = (5, 10)      | (i, j) = (3, 4) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (4, 0) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (4, 1) | D = 0.18257
(n, m) = (5, 10)      | (i, j) = (4, 2) | D = 0.0
(n, m) = (5, 10)      | (i, j) = (4, 3) | D = 0.0
(n, m) = (5, 10)      | (i, j) = (4, 4) | D = 0.18257
(n, m) = (5, 100)     | (i, j) = (0, 0) | D = 0.08729
(n, m) = (5, 100)     | (i, j) = (0, 1) | D = 0.06547
(n, m) = (5, 100)     | (i, j) = (0, 2) | D = 0.13093
(n, m) = (5, 100)     | (i, j) = (0, 3) | D = 0.10911
(n, m) = (5, 100)     | (i, j) = (0, 4) | D = 0.15275
(n, m) = (5, 100)     | (i, j) = (1, 0) | D = 0.34915
(n, m) = (5, 100)     | (i, j) = (1, 1) | D = 0.37097
(n, m) = (5, 100)     | (i, j) = (1, 2) | D = 0.30551
(n, m) = (5, 100)     | (i, j) = (1, 3) | D = 0.32733
(n, m) = (5, 100)     | (i, j) = (1, 4) | D = 0.28368
(n, m) = (5, 100)     | (i, j) = (2, 0) | D = 0.08729
(n, m) = (5, 100)     | (i, j) = (2, 1) | D = 0.06547
(n, m) = (5, 100)     | (i, j) = (2, 2) | D = 0.13093
(n, m) = (5, 100)     | (i, j) = (2, 3) | D = 0.10911
(n, m) = (5, 100)     | (i, j) = (2, 4) | D = 0.15275
